Meetpunt;Naam;Van;Tot;Datum;Materiaal;Doorloop;Werkwater;Ec;Hoogte buis;Lengte;Diameter;Opmerking;Grind;Bentoniet
G-PB01;1;0.6;1.6;15-04-2014;PVC;matig;;;-0.1;;32;;0.30 - 1.60;0.20 - 0.30
G-PB02;1;1.5;2.5;15-04-2014;PVC;matig;;;-0.1;;32;;0.40 - 2.50;0.20 - 0.40
G-PB03;1;1;2;15-04-2014;PVC;matig;;;-0.1;;32;;0.40 - 2.00;0.20 - 0.40
G-PB04;1;1;2;15-04-2014;PVC;matig;;;-0.1;;32;;0.40 - 2.00;0.20 - 0.40
G-PB05;1;1.8;2.8;15-04-2014;PVC;matig;;;-0.1;;32;;1.00 - 2.80;0.80 - 1.00
G-PB06;1;1;2;15-04-2014;PVC;matig;;;-0.1;;32;;0.40 - 2.00;0.20 - 0.40
G-PB07;1;0.6;1.6;15-04-2014;PVC;matig;;;-0.1;;32;;0.30 - 1.60;0.20 - 0.30
G-PB08;1;1.4;2.2;15-04-2014;PVC;matig;;;-0.1;;40;;1.20 - 2.20;1.00 - 1.20
G-PB09;1;1;2;15-04-2014;PVC;matig;;;-0.1;;32;;0.40 - 2.00;0.20 - 0.40
G-PB10;1;1.2;2.2;15-04-2014;PVC;matig;;;-0.1;;32;;0.40 - 2.20;0.20 - 0.40
G-PB11;1;1.1;2.1;24-04-2014;PVC;matig;;;-0.1;;32;;1.00 - 2.10;0.80 - 1.00
G-PB12;1;1;2;24-04-2014;PVC;matig;;;-0.1;;32;;0.40 - 2.00;0.20 - 0.40
G-PB13;1;1;2;24-04-2014;PVC;matig;;;-0.1;;32;;0.70 - 2.00;0.50 - 0.70
G-PB14;1;1;2;24-04-2014;PVC;matig;;;-0.1;;32;;0.70 - 2.00;0.50 - 0.70
G-PB15;1;1.5;2.5;24-04-2014;PVC;matig;;;-0.1;;32;;0.40 - 2.50;0.20 - 0.40
MW-PB01;1;1;2;24-04-2014;PVC;matig;;;-0.1;;32;;0.40 - 2.00;0.20 - 0.40
MW-PB02;1;1.1;2.1;24-04-2014;PVC;matig;;;-0.1;;32;;0.70 - 2.10;0.50 - 0.70
MW-PB03;1;0.8;1.8;24-04-2014;PVC;matig;;;-0.1;;32;;0.40 - 1.80;0.20 - 0.40
MW-PB04;1;1.5;2.5;24-04-2014;PVC;matig;;;-0.1;;32;;1.20 - 2.50;1.00 - 1.20
MW-PB05;1;0.9;1.9;29-04-2014;PVC;matig;;;-0.1;;32;;0.40 - 1.90;0.20 - 0.40
MW-PB06;1;0.8;1.8;24-04-2014;PVC;matig;;;-0.1;;32;;0.40 - 1.80;0.20 - 0.40
MW-PB07;1;1.1;2.1;23-04-2014;PVC;matig;;;-0.1;;32;;0.40 - 2.10;0.20 - 0.40
MW-PB08;1;0.8;1.8;23-04-2014;PVC;matig;;;-0.1;;32;;0.30 - 1.80;0.20 - 0.30
MW-PB09;1;0.8;1.8;24-04-2014;PVC;matig;;;-0.1;;32;;0.40 - 1.80;0.20 - 0.40
MW-PB10;1;1.4;2.4;24-04-2014;PVC;matig;;;-0.1;;32;;1.20 - 2.40;1.00 - 1.20
MW-PB11;1;1.2;2.2;23-04-2014;PVC;matig;;;-0.1;;32;;0.70 - 2.20;0.50 - 0.70
MW-PB12;1;0.5;1.5;24-04-2014;PVC;matig;;;-0.1;;32;;0.40 - 1.50;0.20 - 0.40
MW-PB13;1;0.6;1.6;24-04-2014;PVC;matig;;;-0.1;;32;;0.40 - 1.60;0.20 - 0.40
MW-PB14;1;0.8;1.8;24-04-2014;PVC;matig;;;-0.1;;32;;0.40 - 1.80;0.20 - 0.40
MW-PB15;1;0.5;1.5;24-04-2014;PVC;matig;;;-0.1;;32;;0.40 - 1.50;0.20 - 0.40
MW-PB16;1;0.8;1.8;24-04-2014;PVC;matig;;;-0.1;;32;;0.40 - 1.80;0.20 - 0.40
